日期,天序号,时段序号,时段起,时段止,电价_元每kWh,负载_kW,光伏_kW,计划购电量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,时段末储电量_kWh,终端余值单价_元每kWh
2025-02-01,32,44,7:10,7:20,0.8237,3572.3788,884.9275,0.0000,0.0000,447.9085,0.0000,3539.8772,0.4108
2025-02-01,32,45,7:20,7:30,0.7654,3477.2200,1140.6750,0.0000,0.0000,389.4242,0.0000,3107.1837,0.4108
2025-02-01,32,46,7:30,7:40,0.7258,3654.0022,1388.0797,0.0000,0.0000,377.6537,0.0000,2687.5684,0.4108
2025-02-01,32,47,7:40,7:50,0.8697,3841.4201,1674.4520,0.0000,0.0000,361.1613,0.0000,2286.2780,0.4108
2025-02-01,32,48,7:50,8:00,1.0783,3803.6500,2004.1125,0.0000,0.0000,299.9229,0.0000,1953.0303,0.4108
2025-02-01,32,49,8:00,8:10,1.0448,3545.4639,2332.1065,0.0000,0.0000,202.2262,0.0000,1728.3345,0.4108
2025-02-01,32,50,8:10,8:20,0.9667,3411.3490,2632.5934,0.0000,0.0000,129.7926,0.0000,1584.1205,0.4108
2025-02-01,32,51,8:20,8:30,0.9429,3445.3700,2927.6625,0.0000,0.0000,86.2846,0.0000,1488.2487,0.4108
2025-02-01,32,52,8:30,8:40,0.8930,3467.1139,3251.2990,0.0000,0.0000,35.9691,0.0000,1448.2830,0.4108
2025-02-01,32,53,8:40,8:50,0.9266,3894.4802,3519.7566,0.0000,0.0000,62.4539,0.0000,1378.8898,0.4108
2025-02-01,32,54,8:50,9:00,0.9995,4422.7600,3731.7000,0.0000,0.0000,115.1767,0.0000,1250.9157,0.4108
2025-02-01,32,55,9:00,9:10,0.9415,4267.5205,3992.5758,0.0000,0.0000,45.8241,0.0000,1200.0000,0.4108
2025-02-01,32,56,9:10,9:20,0.8825,4190.1702,4378.3332,0.0000,31.3605,0.0000,0.0000,1228.2244,0.4108
2025-02-01,32,57,9:20,9:30,0.8929,4418.3200,4788.5250,0.0000,61.7008,0.0000,0.0000,1283.7552,0.4108
2025-02-01,32,58,9:30,9:40,0.9059,4399.2754,5029.9241,0.0000,105.1081,0.0000,0.0000,1378.3525,0.4108
2025-02-01,32,59,9:40,9:50,0.8581,4182.7342,5203.9177,0.0000,170.1972,0.0000,0.0000,1531.5300,0.4108
2025-02-01,32,60,9:50,10:00,0.8084,4071.5300,5364.1125,0.0000,215.4304,0.0000,0.0000,1725.4174,0.4108
2025-02-01,32,61,10:00,10:10,0.8605,4268.5932,5471.0990,0.0000,200.4176,0.0000,0.0000,1905.7933,0.4108
2025-02-01,32,62,10:10,10:20,0.8292,4240.2423,5601.7634,0.0000,226.9202,0.0000,0.0000,2110.0214,0.4108
2025-02-01,32,63,10:20,10:30,0.7446,4001.9600,5755.3125,0.0000,292.2254,0.0000,0.0000,2373.0243,0.4108
2025-02-01,32,64,10:30,10:40,0.7982,4072.3226,5878.8490,0.0000,301.0877,0.0000,0.0000,2644.0033,0.4108
2025-02-01,32,65,10:40,10:50,0.6917,4068.7830,6128.0874,0.0000,343.2174,0.0000,0.0000,2952.8989,0.4108
2025-02-01,32,66,10:50,11:00,0.4380,3917.5500,6361.6500,0.0000,407.3500,0.0000,0.0000,3319.5139,0.4108
2025-02-01,32,67,11:00,11:10,0.3671,3946.1661,6277.0669,0.0000,388.4835,0.0000,0.0000,3669.1491,0.4108
2025-02-01,32,68,11:10,11:20,0.3419,3936.6103,6308.0507,0.0000,395.2401,0.0000,0.0000,4024.8651,0.4108
2025-02-01,32,69,11:20,11:30,0.3080,3927.2100,6594.3750,0.0000,444.5275,0.0000,0.0000,4424.9399,0.4108
2025-02-01,32,70,11:30,11:40,0.3563,4153.2513,6817.8939,0.0000,444.1071,0.0000,0.0000,4824.6363,0.4108
2025-02-01,32,71,11:40,11:50,0.3499,4080.8969,6770.5009,0.0000,448.2673,0.0000,0.0000,5228.0769,0.4108
2025-02-01,32,72,11:50,12:00,0.2979,3840.2000,6603.9375,194.6648,655.2877,0.0000,0.0000,5817.8358,0.4108
2025-02-01,32,73,12:00,12:10,0.3528,4061.0483,6632.8992,0.0000,428.6418,0.0000,0.0000,6203.6134,0.4108
2025-02-01,32,74,12:10,12:20,0.4214,3978.5628,6536.8864,0.0000,426.3873,0.0000,0.0000,6587.3620,0.4108
2025-02-01,32,75,12:20,12:30,0.4077,3564.1300,6314.4750,0.0000,458.3908,0.0000,0.0000,6999.9137,0.4108
2025-02-01,32,76,12:30,12:40,0.3359,3606.6850,6312.5866,0.0000,450.9836,0.0000,0.0000,7405.7990,0.4108
2025-02-01,32,77,12:40,12:50,0.4541,3800.0122,6353.9385,0.0000,425.6544,0.0000,0.0000,7788.8879,0.4108
2025-02-01,32,78,12:50,13:00,0.6884,3832.0900,6313.3500,0.0000,413.5433,0.0000,0.0000,8161.0769,0.4108
2025-02-01,32,79,13:00,13:10,0.7168,3716.2454,6246.1375,0.0000,421.6487,0.0000,0.0000,8540.5607,0.4108
2025-02-01,32,80,13:10,13:20,0.7194,3639.0264,6175.3730,0.0000,422.7244,0.0000,0.0000,8921.0127,0.4108
2025-02-01,32,81,13:20,13:30,0.7375,3642.0800,6103.6875,0.0000,410.2679,0.0000,0.0000,9290.2538,0.4108
2025-02-01,32,82,13:30,13:40,0.6413,3637.9100,5992.7643,0.0000,392.4757,0.0000,0.0000,9643.4820,0.4108
2025-02-01,32,83,13:40,13:50,0.6761,3749.5633,5691.8061,0.0000,323.7071,0.0000,0.0000,9934.8184,0.4108
2025-02-01,32,84,13:50,14:00,0.8225,3849.8700,5251.1250,0.0000,233.5425,0.0000,0.0000,10145.0066,0.4108
2025-02-01,32,85,14:00,14:10,0.8111,3676.3403,4893.7405,0.0000,202.9000,0.0000,0.0000,10327.6167,0.4108
2025-02-01,32,86,14:10,14:20,0.8061,3619.6065,4617.2194,0.0000,166.2688,0.0000,0.0000,10477.2586,0.4108
2025-02-01,32,87,14:20,14:30,0.8727,3664.8700,4364.4000,0.0000,116.5883,0.0000,0.0000,10582.1881,0.4108
2025-02-01,32,88,14:30,14:40,0.8717,3429.7385,4104.4044,0.0000,112.4443,0.0000,0.0000,10683.3880,0.4108
2025-02-01,32,89,14:40,14:50,0.7054,3327.5652,3890.1686,0.0000,93.7672,0.0000,0.0000,10767.7785,0.4108
2025-02-01,32,90,14:50,15:00,0.5147,3473.5400,3688.3500,0.0000,35.8017,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,91,15:00,15:10,0.5575,3562.9320,3392.3571,28.4291,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,92,15:10,15:20,0.6606,3620.2202,3032.6158,97.9341,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,93,15:20,15:30,0.6880,3651.9300,2703.8250,158.0175,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,94,15:30,15:40,0.6617,3580.7319,2481.7698,183.1604,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,95,15:40,15:50,0.6465,3420.6657,2255.8374,194.1381,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,96,15:50,16:00,0.6667,3292.5000,1973.5875,219.8187,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,97,16:00,16:10,0.6956,3324.4944,1687.0443,272.9084,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,98,16:10,16:20,0.7032,3354.2164,1442.6491,318.5945,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,99,16:20,16:30,0.7041,3378.6400,1214.1750,360.7442,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,100,16:30,16:40,0.7357,3481.7178,933.1142,424.7673,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,101,16:40,16:50,0.7466,3196.9081,640.2688,426.1066,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,102,16:50,17:00,0.7383,2680.6800,358.2375,387.0737,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,103,17:00,17:10,0.7642,2601.2611,95.3846,417.6461,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,104,17:10,17:20,0.7870,2638.6848,0.0000,439.7808,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,105,17:20,17:30,0.7750,2616.8200,0.0000,436.1367,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,106,17:30,17:40,0.7557,2675.9710,4.1367,445.3057,0.0000,0.0000,0.0000,10800.0000,0.4108
2025-02-01,32,107,17:40,17:50,0.8692,2639.3558,0.0000,0.0000,0.0000,439.8926,0.0000,10311.2304,0.4108
2025-02-01,32,108,17:50,18:00,1.0662,2570.8200,0.0000,0.0000,0.0000,428.4700,0.0000,9835.1526,0.4108
2025-02-01,32,109,18:00,18:10,1.1465,2725.1073,0.2970,0.0000,0.0000,454.1350,0.0000,9330.5581,0.4108
2025-02-01,32,110,18:10,18:20,1.1653,2833.5919,0.0000,0.0000,0.0000,472.2653,0.0000,8805.8189,0.4108
2025-02-01,32,111,18:20,18:30,1.1644,2725.0100,0.0000,0.0000,0.0000,454.1683,0.0000,8301.1874,0.4108
2025-02-01,32,112,18:30,18:40,1.1265,2510.2571,0.0213,0.0000,0.0000,418.3726,0.0000,7836.3289,0.4108
2025-02-01,32,113,18:40,18:50,1.1134,2484.4934,0.0000,0.0000,0.0000,414.0822,0.0000,7376.2376,0.4108
2025-02-01,32,114,18:50,19:00,1.1312,2592.8300,0.0000,0.0000,0.0000,432.1383,0.0000,6896.0839,0.4108
2025-02-01,32,115,19:00,19:10,1.1292,2544.0862,0.0015,0.0000,0.0000,424.0141,0.0000,6424.9571,0.4108
2025-02-01,32,116,19:10,19:20,1.1330,2654.4748,0.0000,0.0000,0.0000,442.4125,0.0000,5933.3876,0.4108
2025-02-01,32,117,19:20,19:30,1.1382,2902.4800,0.0000,0.0000,0.0000,483.7467,0.0000,5395.8914,0.4108
2025-02-01,32,118,19:30,19:40,1.1103,2887.1068,0.0000,0.0000,0.0000,481.1845,0.0000,4861.2419,0.4108
2025-02-01,32,119,19:40,19:50,1.0929,2668.5956,0.0000,0.0000,0.0000,444.7659,0.0000,4367.0576,0.4108
2025-02-01,32,120,19:50,20:00,1.1041,2508.5700,0.0000,0.0000,0.0000,418.0950,0.0000,3902.5076,0.4108
2025-02-01,32,121,20:00,20:10,1.1204,2620.4431,0.0000,0.0000,0.0000,436.7405,0.0000,3417.2403,0.4108
2025-02-01,32,122,20:10,20:20,1.1344,2716.1871,0.0000,0.0000,0.0000,452.6978,0.0000,2914.2427,0.4108
2025-02-01,32,123,20:20,20:30,1.1597,2699.8100,0.0000,0.0000,0.0000,449.9683,0.0000,2414.2779,0.4108
2025-02-01,32,124,20:30,20:40,1.1766,2730.4002,0.0000,0.0000,0.0000,455.0667,0.0000,1908.6482,0.4108
2025-02-01,32,125,20:40,20:50,0.9864,2724.0742,0.0000,0.0000,0.0000,454.0124,0.0000,1404.1901,0.4108
2025-02-01,32,126,20:50,21:00,0.7240,2756.4300,0.0000,459.4050,0.0000,0.0000,0.0000,1404.1901,0.4108
2025-02-01,32,127,21:00,21:10,0.7481,2984.5246,0.0000,497.4208,0.0000,0.0000,0.0000,1404.1901,0.4108
2025-02-01,32,128,21:10,21:20,0.8129,3019.6988,0.0000,503.2831,0.0000,0.0000,0.0000,1404.1901,0.4108
2025-02-01,32,129,21:20,21:30,0.8144,2865.3400,0.0000,477.5567,0.0000,0.0000,0.0000,1404.1901,0.4108
2025-02-01,32,130,21:30,21:40,0.8497,2874.8157,0.0000,295.3649,0.0000,183.7711,0.0000,1200.0000,0.4108
2025-02-01,32,131,21:40,21:50,0.6531,2701.2246,0.0000,450.2041,0.0000,0.0000,0.0000,1200.0000,0.4108
2025-02-01,32,132,21:50,22:00,0.3205,2352.5100,0.0000,1225.4183,833.3333,0.0000,0.0000,1950.0000,0.4108
2025-02-01,32,133,22:00,22:10,0.2542,2230.6189,0.0000,1205.1032,833.3333,0.0000,0.0000,2700.0000,0.4108
2025-02-01,32,134,22:10,22:20,0.2730,2181.4693,0.0000,1196.9115,833.3333,0.0000,0.0000,3450.0000,0.4108
2025-02-01,32,135,22:20,22:30,0.2774,2154.9400,0.0000,1192.4900,833.3333,0.0000,0.0000,4200.0000,0.4108
2025-02-01,32,136,22:30,22:40,0.3501,2292.3043,0.0000,1215.3840,833.3333,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,137,22:40,22:50,0.3780,2503.0105,0.0000,417.1684,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,138,22:50,23:00,0.3465,2590.7800,0.0000,1265.1300,833.3333,0.0000,0.0000,5700.0000,0.4108
2025-02-01,32,139,23:00,23:10,0.3534,2438.7897,0.0000,1239.7983,833.3333,0.0000,0.0000,6450.0000,0.4108
2025-02-01,32,140,23:10,23:20,0.3497,2405.7592,0.0000,1234.2932,833.3333,0.0000,0.0000,7200.0000,0.4108
2025-02-01,32,141,23:20,23:30,0.3245,2459.6700,0.0000,1243.2783,833.3333,0.0000,0.0000,7950.0000,0.4108
2025-02-01,32,142,23:30,23:40,0.3293,2323.4202,0.0000,1220.5700,833.3333,0.0000,0.0000,8700.0000,0.4108
2025-02-01,32,143,23:40,23:50,0.3592,2728.2609,0.0000,1288.0435,833.3333,0.0000,0.0000,9450.0000,0.4108
2025-02-01,32,144,23:50,24:00,0.4038,3484.9400,0.0000,580.8233,0.0000,0.0000,0.0000,9450.0000,0.4108
2025-02-02,33,1,0:00,0:10,0.4523,3591.9843,0.0000,598.6640,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,2,0:10,0:20,0.4559,3490.4069,0.0000,581.7345,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,3,0:20,0:30,0.4264,3507.5600,0.0000,584.5933,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,4,0:30,0:40,0.4251,3516.6172,0.0000,586.1029,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,5,0:40,0:50,0.4292,3523.1812,0.0000,587.1969,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,6,0:50,1:00,0.4478,3576.4400,0.0000,596.0733,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,7,1:00,1:10,0.5032,3672.3289,0.0000,612.0548,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,8,1:10,1:20,0.4672,3589.9458,0.0000,598.3243,0.0000,0.0000,0.0000,9450.0000,0.4121
2025-02-02,33,9,1:20,1:30,0.3890,3433.4000,0.0000,1405.5667,833.3333,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,10,1:30,1:40,0.4462,3549.9164,0.0000,591.6527,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,11,1:40,1:50,0.4778,3745.7742,0.0000,624.2957,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,12,1:50,2:00,0.4332,3771.9900,0.0000,628.6650,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,13,2:00,2:10,0.4262,3594.4447,0.0000,599.0741,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,14,2:10,2:20,0.4412,3671.1635,0.0000,611.8606,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,15,2:20,2:30,0.4418,3882.8300,0.0000,647.1383,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,16,2:30,2:40,0.4245,3711.2114,0.0000,618.5352,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,17,2:40,2:50,0.4533,3797.0551,0.0000,632.8425,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,18,2:50,3:00,0.4922,4096.4500,0.0000,682.7417,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,19,3:00,3:10,0.4433,3901.7476,0.0000,650.2913,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,20,3:10,3:20,0.4219,3751.7022,0.0000,625.2837,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,21,3:20,3:30,0.4714,3892.9600,0.0000,648.8267,0.0000,0.0000,0.0000,10200.0000,0.4121
2025-02-02,33,22,3:30,3:40,0.5121,4003.4218,0.0000,532.2370,0.0000,135.0000,0.0000,10050.0000,0.4121
2025-02-02,33,23,3:40,3:50,0.4836,3951.3330,0.0000,658.5555,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,24,3:50,4:00,0.4376,3825.9300,0.0000,637.6550,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,25,4:00,4:10,0.4776,3819.9275,0.0000,636.6546,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,26,4:10,4:20,0.4964,3875.4400,0.0000,645.9067,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,27,4:20,4:30,0.4723,3917.7900,0.0000,652.9650,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,28,4:30,4:40,0.4865,3937.5329,0.0000,656.2555,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,29,4:40,4:50,0.4808,3992.3240,0.0014,665.3871,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,30,4:50,5:00,0.4531,4086.2000,0.0000,681.0333,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,31,5:00,5:10,0.4678,4146.1246,0.0000,691.0208,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,32,5:10,5:20,0.4823,4075.3387,0.0189,679.2200,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,33,5:20,5:30,0.4391,3887.6800,0.0000,647.9467,0.0000,0.0000,0.0000,10050.0000,0.4121
2025-02-02,33,34,5:30,5:40,0.3697,3800.9682,0.0000,1466.8280,833.3333,0.0000,0.0000,10800.0000,0.4121
2025-02-02,33,35,5:40,5:50,0.5849,4342.6923,0.2639,723.7381,0.0000,0.0000,0.0000,10800.0000,0.4121
2025-02-02,33,36,5:50,6:00,0.9636,5133.2000,0.0000,855.5333,0.0000,0.0000,0.0000,10800.0000,0.4121
2025-02-02,33,37,6:00,6:10,1.0488,5203.4971,0.0000,566.8009,0.0000,300.4486,0.0000,10466.1682,0.4121
2025-02-02,33,38,6:10,6:20,1.0385,5131.6891,3.6762,854.6688,0.0000,0.0000,0.0000,10466.1682,0.4121
2025-02-02,33,39,6:20,6:30,1.0714,5241.0100,0.0000,40.1683,0.0000,833.3333,0.0000,9540.2423,0.4121
2025-02-02,33,40,6:30,6:40,1.0749,5256.0742,0.0000,42.6790,0.0000,833.3333,0.0000,8614.3164,0.4121
2025-02-02,33,41,6:40,6:50,1.0446,5123.0993,114.5793,834.7533,0.0000,0.0000,0.0000,8614.3164,0.4121
2025-02-02,33,42,6:50,7:00,0.9869,4993.5900,386.0625,767.9212,0.0000,0.0000,0.0000,8614.3164,0.4121
2025-02-02,33,43,7:00,7:10,0.9164,5070.2148,657.2329,735.4970,0.0000,0.0000,0.0000,8614.3164,0.4121
2025-02-02,33,44,7:10,7:20,0.9117,5192.5144,940.4696,708.6741,0.0000,0.0000,0.0000,8614.3164,0.4121
2025-02-02,33,45,7:20,7:30,0.9168,5177.8600,1238.4000,656.5767,0.0000,0.0000,0.0000,8614.3164,0.4121
2025-02-02,33,46,7:30,7:40,0.8379,5107.2798,1513.0005,1432.3799,833.3333,0.0000,0.0000,9364.3164,0.4121
2025-02-02,33,47,7:40,7:50,1.0094,5778.3380,1766.4526,668.6476,0.0000,0.0000,0.0000,9364.3164,0.4121
2025-02-02,33,48,7:50,8:00,1.3473,6861.8200,1994.9250,0.0000,0.0000,811.1492,0.0000,8463.0395,0.4121
2025-02-02,33,49,8:00,8:10,1.3998,7139.7466,2202.7585,0.0000,0.0000,822.8314,0.0000,7548.7825,0.4121
2025-02-02,33,50,8:10,8:20,1.3427,7041.3312,2488.0760,0.0000,0.0000,758.8759,0.0000,6705.5871,0.4121
2025-02-02,33,51,8:20,8:30,1.3172,7005.2100,2849.8125,0.0000,0.0000,692.5662,0.0000,5936.0690,0.4121
2025-02-02,33,52,8:30,8:40,1.2806,7028.9548,3188.1898,0.0000,0.0000,640.1275,0.0000,5224.8162,0.4121
2025-02-02,33,53,8:40,8:50,1.2438,7017.2375,3500.7317,0.0000,0.0000,586.0843,0.0000,4573.6115,0.4121
2025-02-02,33,54,8:50,9:00,1.2256,6958.1800,3830.9625,0.0000,0.0000,521.2029,0.0000,3994.4971,0.4121
2025-02-02,33,55,9:00,9:10,1.2306,6935.0691,4206.0361,0.0000,0.0000,454.8388,0.0000,3489.1206,0.4121
2025-02-02,33,56,9:10,9:20,1.2355,6996.6790,4513.9776,0.0000,0.0000,413.7836,0.0000,3029.3611,0.4121
2025-02-02,33,57,9:20,9:30,1.2013,7027.6200,4781.9250,0.0000,0.0000,374.2825,0.0000,2613.4917,0.4121
2025-02-02,33,58,9:30,9:40,1.1141,6860.5787,5126.7424,0.0000,0.0000,288.9727,0.0000,2292.4109,0.4121
2025-02-02,33,59,9:40,9:50,1.0893,6729.1115,5340.6791,0.0000,0.0000,231.4054,0.0000,2035.2938,0.4121
2025-02-02,33,60,9:50,10:00,1.1386,6761.8900,5427.7125,0.0000,0.0000,222.3629,0.0000,1788.2239,0.4121
2025-02-02,33,61,10:00,10:10,1.1539,6859.4615,5594.9043,0.0000,0.0000,210.7595,0.0000,1554.0466,0.4121
2025-02-02,33,62,10:10,10:20,1.0970,6845.7405,5693.5408,0.0000,0.0000,192.0333,0.0000,1340.6763,0.4121
2025-02-02,33,63,10:20,10:30,1.0376,6724.9500,5734.5000,165.0750,0.0000,0.0000,0.0000,1340.6763,0.4121
