日期,天序号,时段序号,时段起,时段止,电价_元每kWh,负载_kW,光伏实际_kW,光伏预报0_kW,光伏预报6_kW,光伏预报12_kW,光伏预报18_kW,计划购电量_kWh,调整购电量_kWh,欠取量_kWh,超用量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,弃光电量_kWh,时段末储电量_kWh,终端余值单价_元每kWh
2025-02-01,32,15,2:20,2:30,0.3670,3019.3200,0.0000,0.0000,0.0000,0.0000,0.0000,503.2200,503.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6786.1520,0.4108
2025-02-01,32,16,2:30,2:40,0.3185,2844.4369,0.0000,0.0000,0.0000,0.0000,0.0000,1307.4061,1307.4061,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,7536.1520,0.4108
2025-02-01,32,17,2:40,2:50,0.3285,2768.3064,0.0000,0.0000,0.0000,0.0000,0.0000,1294.7177,1294.7177,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,18,2:50,3:00,0.3772,2861.6500,0.0000,0.0000,0.0000,0.0000,0.0000,476.9417,476.9417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,19,3:00,3:10,0.3815,2900.3973,0.0000,0.0000,0.0000,0.0000,0.0000,483.3996,483.3996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,20,3:10,3:20,0.3822,2919.6115,0.0000,0.0000,0.0000,0.0000,0.0000,486.6019,486.6019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,21,3:20,3:30,0.3962,2993.0900,0.0000,0.0000,0.0000,0.0000,0.0000,498.8483,498.8483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,22,3:30,3:40,0.3879,3109.8584,0.0000,0.0000,0.0000,0.0000,0.0000,518.3097,518.3097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,23,3:40,3:50,0.3405,3054.8008,0.0000,0.0000,0.0000,0.0000,0.0000,509.1335,509.1335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286.1520,0.4108
2025-02-01,32,24,3:50,4:00,0.3164,2901.7000,0.0000,0.0000,0.0000,0.0000,0.0000,1316.9500,1316.9500,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,25,4:00,4:10,0.3916,2947.1208,0.0000,0.0000,0.0000,0.0000,0.0000,491.1868,491.1868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,26,4:10,4:20,0.4109,3027.8717,0.0000,0.0000,0.0000,0.0000,0.0000,504.6453,504.6453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,27,4:20,4:30,0.3610,3033.4700,0.0000,0.0000,0.0000,0.0000,0.0000,505.5783,505.5783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,28,4:30,4:40,0.3799,3019.3858,0.0000,0.0000,0.0000,0.0000,0.0000,503.2310,503.2310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,29,4:40,4:50,0.4094,3017.0819,0.0014,0.0000,0.0000,0.0000,0.0000,502.8470,502.8470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,9036.1520,0.4108
2025-02-01,32,30,4:50,5:00,0.4052,2997.8500,0.0000,0.0000,0.0000,0.0000,0.0000,499.6417,499.6417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,31,5:00,5:10,0.3896,2932.7015,0.0000,0.0000,0.0000,0.0000,0.0000,488.7836,488.7836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,32,5:10,5:20,0.3908,2991.1125,0.0199,0.0000,0.0000,0.0000,0.0000,498.5188,498.5188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,9036.1520,0.4108
2025-02-01,32,33,5:20,5:30,0.3821,3175.3400,0.0000,0.0000,0.0000,0.0000,0.0000,529.2233,529.2233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,34,5:30,5:40,0.3475,3284.4619,0.0000,0.0000,0.0000,0.0000,0.0000,547.4103,547.4103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9036.1520,0.4108
2025-02-01,32,35,5:40,5:50,0.5182,3187.3644,0.2774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,531.2274,0.0000,0.0462,8445.8994,0.4108
2025-02-01,32,36,5:50,6:00,0.8102,3065.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,510.9833,0.0000,0.0000,7878.1401,0.4108
2025-02-01,32,37,6:00,6:10,0.8756,3211.1231,0.0000,58.6364,57.8244,57.8244,57.8244,0.0000,0.0000,0.0000,0.0000,0.0000,525.5498,9.6374,0.0000,7294.1959,0.4108
2025-02-01,32,38,6:10,6:20,0.8180,3203.9961,3.8641,117.2729,115.6489,115.6489,115.6489,0.0000,0.0000,0.0000,0.0000,0.0000,514.7245,18.6308,0.0000,6722.2797,0.4108
2025-02-01,32,39,6:20,6:30,0.7708,3027.1200,0.0000,175.9093,173.4733,173.4733,173.4733,0.0000,0.0000,0.0000,0.0000,0.0000,475.6078,28.9122,0.0000,6193.8266,0.4108
2025-02-01,32,40,6:30,6:40,0.7715,3117.3221,0.0000,234.5457,231.2977,231.2977,231.2977,0.0000,0.0000,0.0000,0.0000,0.0000,481.0041,38.5496,0.0000,5659.3777,0.4108
2025-02-01,32,41,6:40,6:50,0.8181,3398.4900,89.6095,293.1822,289.1222,289.1222,289.1222,0.0000,0.0000,0.0000,0.0000,0.0000,518.2280,33.2521,0.0000,5083.5688,0.4108
2025-02-01,32,42,6:50,7:00,0.8678,3652.7500,340.5000,351.8186,346.9466,346.9466,346.9466,0.0000,0.0000,0.0000,0.0000,0.0000,550.9672,1.0744,0.0000,4471.3830,0.4108
2025-02-01,32,43,7:00,7:10,0.8640,3703.2843,615.9360,635.6975,634.1416,634.1416,634.1416,0.0000,0.0000,0.0000,0.0000,0.0000,511.5238,3.0343,0.0000,3903.0233,0.4108
2025-02-01,32,44,7:10,7:20,0.8237,3572.3788,884.9275,919.5764,921.3365,921.3365,921.3365,0.0000,0.0000,0.0000,0.0000,0.0000,441.8404,6.0682,0.0000,3412.0895,0.4108
2025-02-01,32,45,7:20,7:30,0.7654,3477.2200,1140.6750,1203.4553,1208.5315,1208.5315,1208.5315,0.0000,0.0000,0.0000,0.0000,0.0000,378.1147,11.3094,0.0000,2991.9620,0.4108
2025-02-01,32,46,7:30,7:40,0.7258,3654.0022,1388.0797,1487.3343,1495.7265,1495.7265,1495.7265,0.0000,0.0000,0.0000,0.0000,0.0000,359.7126,17.9411,0.0000,2592.2813,0.4108
2025-02-01,32,47,7:40,7:50,0.8697,3841.4201,1674.4520,1771.2132,1782.9214,1782.9214,1782.9214,0.0000,0.0000,0.0000,0.0000,0.0000,343.0831,18.0782,0.0000,2211.0779,0.4108
2025-02-01,32,48,7:50,8:00,1.0783,3803.6500,2004.1125,2055.0921,2070.1164,2070.1164,2070.1164,0.0000,0.0000,0.0000,0.0000,0.0000,288.9223,11.0006,0.0000,1890.0531,0.4108
2025-02-01,32,49,8:00,8:10,1.0448,3545.4639,2332.1065,2352.7211,2374.2029,2374.2029,2374.2029,0.0000,0.0000,0.0000,0.0000,0.0000,195.2102,7.0161,0.0000,1673.1529,0.4108
2025-02-01,32,50,8:10,8:20,0.9667,3411.3490,2632.5934,2650.3502,2678.2894,2678.2894,2678.2894,0.0000,0.0000,0.0000,0.0000,0.0000,122.1766,7.6160,0.0000,1537.4011,0.4108
2025-02-01,32,51,8:20,8:30,0.9429,3445.3700,2927.6625,2947.9792,2982.3759,2982.3759,2982.3759,0.0000,0.0000,0.0000,0.0000,0.0000,77.1657,9.1189,0.0000,1451.6615,0.4108
2025-02-01,32,52,8:30,8:40,0.8930,3467.1139,3251.2990,3245.6083,3286.4624,3286.4624,3286.4624,0.0000,0.0000,0.0000,0.0000,0.0000,30.1086,5.8606,0.0000,1418.2075,0.4108
2025-02-01,32,53,8:40,8:50,0.9266,3894.4802,3519.7566,3543.2374,3590.5489,3590.5489,3590.5489,0.0000,0.0000,0.0000,0.0000,0.0000,50.6552,11.7987,0.0000,1361.9239,0.4108
2025-02-01,32,54,8:50,9:00,0.9995,4422.7600,3731.7000,3840.8664,3894.6354,3894.6354,3894.6354,0.0000,0.0000,0.0000,0.0000,0.0000,88.0208,27.1559,0.0000,1264.1231,0.4108
2025-02-01,32,55,9:00,9:10,0.9415,4267.5205,3992.5758,4170.3611,4224.2337,4224.2337,4224.2337,0.0000,0.0000,0.0000,0.0000,0.0000,7.2145,38.6096,0.0000,1256.1070,0.4108
2025-02-01,32,56,9:10,9:20,0.8825,4190.1702,4378.3332,4499.8558,4553.8320,4553.8320,4553.8320,0.0000,0.0000,0.0000,0.0000,60.6103,0.0000,29.2498,0.0000,1310.6563,0.4108
2025-02-01,32,57,9:20,9:30,0.8929,4418.3200,4788.5250,4829.3505,4883.4302,4883.4302,4883.4302,0.0000,0.0000,0.0000,0.0000,77.5184,0.0000,15.8175,0.0000,1380.4228,0.4108
2025-02-01,32,58,9:30,9:40,0.9059,4399.2754,5029.9241,5158.8452,5213.0285,5213.0285,5213.0285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,105.1081,1380.4228,0.4108
2025-02-01,32,59,9:40,9:50,0.8581,4182.7342,5203.9177,5488.3399,5542.6268,5542.6268,5542.6268,0.0000,0.0000,0.0000,0.0000,226.6488,0.0000,56.4515,0.0000,1584.4067,0.4108
2025-02-01,32,60,9:50,10:00,0.8084,4071.5300,5364.1125,5817.8346,5872.2251,5872.2251,5872.2251,0.0000,0.0000,0.0000,0.0000,300.1158,0.0000,84.6854,0.0000,1854.5110,0.4108
2025-02-01,32,61,10:00,10:10,0.8605,4268.5932,5471.0990,6022.6296,6026.5295,6026.5295,6026.5295,0.0000,0.0000,0.0000,0.0000,292.9894,0.0000,92.5717,0.0000,2118.2014,0.4108
2025-02-01,32,62,10:10,10:20,0.8292,4240.2423,5601.7634,6227.4246,6180.8338,6180.8338,6180.8338,0.0000,0.0000,0.0000,0.0000,323.4319,0.0000,96.5117,0.0000,2409.2901,0.4108
2025-02-01,32,63,10:20,10:30,0.7446,4001.9600,5755.3125,6432.2196,6335.1382,6335.1382,6335.1382,0.0000,0.0000,0.0000,0.0000,388.8630,0.0000,96.6376,0.0000,2759.2669,0.4108
2025-02-01,32,64,10:30,10:40,0.7982,4072.3226,5878.8490,6637.0146,6489.4426,6489.4426,6489.4426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,301.0877,2759.2669,0.4108
2025-02-01,32,65,10:40,10:50,0.6917,4068.7830,6128.0874,6841.8096,6643.7469,6643.7469,6643.7469,0.0000,0.0000,0.0000,0.0000,429.1607,0.0000,85.9433,0.0000,3145.5115,0.4108
2025-02-01,32,66,10:50,11:00,0.4380,3917.5500,6361.6500,7046.6046,6798.0513,6798.0513,6798.0513,0.0000,0.0000,0.0000,0.0000,480.0835,0.0000,72.7336,0.0000,3577.5867,0.4108
2025-02-01,32,67,11:00,11:10,0.3671,3946.1661,6277.0669,6993.8171,6827.5108,6827.5108,6827.5108,0.0000,0.0000,0.0000,0.0000,480.2241,0.0000,91.7406,0.0000,4009.7884,0.4108
2025-02-01,32,68,11:10,11:20,0.3419,3936.6103,6308.0507,6941.0296,6856.9703,6856.9703,6856.9703,0.0000,0.0000,0.0000,0.0000,486.7267,0.0000,91.4866,0.0000,4447.8424,0.4108
2025-02-01,32,69,11:20,11:30,0.3080,3927.2100,6594.3750,6888.2420,6886.4298,6886.4298,6886.4298,0.0000,0.0000,0.0000,0.0000,493.2033,0.0000,48.6758,0.0000,4891.7253,0.4108
2025-02-01,32,70,11:30,11:40,0.3563,4153.2513,6817.8939,6835.4545,6915.8893,6915.8893,6915.8893,0.0000,0.0000,0.0000,0.0000,460.4397,0.0000,16.3326,0.0000,5306.1210,0.4108
2025-02-01,32,71,11:40,11:50,0.3499,4080.8969,6770.5009,6782.6670,6945.3488,6945.3488,6945.3488,0.0000,0.0000,0.0000,0.0000,477.4086,0.0000,29.1413,0.0000,5735.7888,0.4108
2025-02-01,32,72,11:50,12:00,0.2979,3840.2000,6603.9375,6729.8795,6974.8083,6974.8083,6974.8083,0.0000,0.0000,0.0000,0.0000,522.4347,0.0000,61.8118,0.0000,6205.9801,0.4108
2025-02-01,32,73,12:00,12:10,0.3528,4061.0483,6632.8992,6615.1935,6975.8070,6861.0592,6861.0592,0.0000,0.0000,0.0000,0.0000,466.6685,0.0000,38.0267,0.0000,6625.9817,0.4108
2025-02-01,32,74,12:10,12:20,0.4214,3978.5628,6536.8864,6500.5076,6976.8057,6747.3101,6747.3101,0.0000,0.0000,0.0000,0.0000,461.4579,0.0000,35.0706,0.0000,7041.2938,0.4108
2025-02-01,32,75,12:20,12:30,0.4077,3564.1300,6314.4750,6385.8216,6977.8044,6633.5610,6633.5610,0.0000,0.0000,0.0000,0.0000,511.5718,0.0000,53.1810,0.0000,7501.7084,0.4108
2025-02-01,32,76,12:30,12:40,0.3359,3606.6850,6312.5866,6271.1357,6978.8032,6519.8118,6519.8118,0.0000,0.0000,0.0000,0.0000,485.5211,0.0000,34.5375,0.0000,7938.6775,0.4108
2025-02-01,32,77,12:40,12:50,0.4541,3800.0122,6353.9385,6156.4497,6979.8019,6406.0627,6406.0627,0.0000,0.0000,0.0000,0.0000,434.3418,0.0000,8.6874,0.0000,8329.5850,0.4108
2025-02-01,32,78,12:50,13:00,0.6884,3832.0900,6313.3500,6041.7638,6980.8006,6292.3136,6292.3136,0.0000,0.0000,0.0000,0.0000,410.0373,0.0000,0.0000,3.5061,8698.6186,0.4108
2025-02-01,32,79,13:00,13:10,0.7168,3716.2454,6246.1375,5871.5865,6761.7201,6111.2767,6111.2767,0.0000,0.0000,0.0000,0.0000,399.1719,0.0000,0.0000,22.4768,9057.8733,0.4108
2025-02-01,32,80,13:10,13:20,0.7194,3639.0264,6175.3730,5701.4092,6542.6396,5930.2397,5930.2397,0.0000,0.0000,0.0000,0.0000,381.8689,0.0000,0.0000,40.8555,9401.5553,0.4108
2025-02-01,32,81,13:20,13:30,0.7375,3642.0800,6103.6875,5531.2319,6323.5591,5749.2028,5749.2028,0.0000,0.0000,0.0000,0.0000,351.1871,0.0000,0.0000,59.0808,9717.6237,0.4108
2025-02-01,32,82,13:30,13:40,0.6413,3637.9100,5992.7643,5361.0547,6104.4786,5568.1659,5568.1659,0.0000,0.0000,0.0000,0.0000,321.7093,0.0000,0.0000,70.7664,10007.1621,0.4108
2025-02-01,32,83,13:40,13:50,0.6761,3749.5633,5691.8061,5190.8774,5885.3981,5387.1289,5387.1289,0.0000,0.0000,0.0000,0.0000,272.9276,0.0000,0.0000,50.7795,10252.7969,0.4108
2025-02-01,32,84,13:50,14:00,0.8225,3849.8700,5251.1250,5020.7001,5666.3176,5206.0920,5206.0920,0.0000,0.0000,0.0000,0.0000,226.0370,0.0000,0.0000,7.5055,10456.2302,0.4108
2025-02-01,32,85,14:00,14:10,0.8111,3676.3403,4893.7405,4729.3130,5346.3548,4944.0979,4944.0979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202.9000,10456.2302,0.4108
2025-02-01,32,86,14:10,14:20,0.8061,3619.6065,4617.2194,4437.9259,5026.3920,4682.1037,4682.1037,0.0000,0.0000,0.0000,0.0000,13.1732,0.0000,0.0000,153.0956,10468.0861,0.4108
2025-02-01,32,87,14:20,14:30,0.8727,3664.8700,4364.4000,4146.5387,4706.4292,4420.1096,4420.1096,0.0000,0.0000,0.0000,0.0000,125.8733,0.0000,9.2849,0.0000,10581.3720,0.4108
2025-02-01,32,88,14:30,14:40,0.8717,3429.7385,4104.4044,3855.1516,4386.4664,4158.1154,4158.1154,0.0000,0.0000,0.0000,0.0000,121.3962,0.0000,8.9518,0.0000,10690.6285,0.4108
2025-02-01,32,89,14:40,14:50,0.7054,3327.5652,3890.1686,3563.7645,4066.5036,3896.1212,3896.1212,0.0000,0.0000,0.0000,0.0000,94.7593,0.0000,0.9921,0.0000,10775.9119,0.4108
2025-02-01,32,90,14:50,15:00,0.5147,3473.5400,3688.3500,3272.3774,3746.5408,3634.1271,3634.1271,33.5271,0.0000,33.5271,0.0000,26.7645,0.0000,0.0000,9.0371,10800.0000,0.4108
2025-02-01,32,91,15:00,15:10,0.5575,3562.9320,3392.3571,2945.2924,3474.2546,3348.4567,3348.4567,102.9399,35.7459,67.1941,0.0000,0.0000,0.0000,0.0000,7.3167,10800.0000,0.4108
2025-02-01,32,92,15:10,15:20,0.6606,3620.2202,3032.6158,2618.2073,3201.9684,3062.7863,3062.7863,167.0021,92.9057,74.0965,0.0000,0.0000,0.0000,5.0284,0.0000,10800.0000,0.4108
2025-02-01,32,93,15:20,15:30,0.6880,3651.9300,2703.8250,2291.1223,2929.6822,2777.1159,2777.1159,226.8013,145.8023,80.9989,0.0000,0.0000,0.0000,12.2152,0.0000,10800.0000,0.4108
2025-02-01,32,94,15:30,15:40,0.6617,3580.7319,2481.7698,1964.0373,2657.3960,2491.4455,2491.4455,269.4491,181.5477,87.9014,0.0000,0.0000,0.0000,1.6126,0.0000,10800.0000,0.4108
2025-02-01,32,95,15:40,15:50,0.6465,3420.6657,2255.8374,1636.9522,2385.1098,2205.7751,2205.7751,297.2856,202.4818,94.8038,0.0000,0.0000,0.0000,0.0000,8.3437,10800.0000,0.4108
2025-02-01,32,96,15:50,16:00,0.6667,3292.5000,1973.5875,1309.8672,2112.8236,1920.1047,1920.1047,330.4388,228.7325,101.7063,0.0000,0.0000,0.0000,0.0000,8.9138,10800.0000,0.4108
2025-02-01,32,97,16:00,16:10,0.6956,3324.4944,1687.0443,1137.4272,1825.4445,1656.0818,1656.0818,364.5112,278.0688,86.4424,0.0000,0.0000,0.0000,0.0000,5.1604,10800.0000,0.4108
2025-02-01,32,98,16:10,16:20,0.7032,3354.2164,1442.6491,964.9872,1538.0654,1392.0590,1392.0590,398.2049,327.0262,71.1786,0.0000,0.0000,0.0000,0.0000,8.4317,10800.0000,0.4108
2025-02-01,32,99,16:20,16:30,0.7041,3378.6400,1214.1750,792.5472,1250.6864,1128.0362,1128.0362,431.0155,375.1006,55.9148,0.0000,0.0000,0.0000,0.0000,14.3565,10800.0000,0.4108
2025-02-01,32,100,16:30,16:40,0.7357,3481.7178,933.1142,620.1073,963.3073,864.0133,864.0133,476.9351,436.2841,40.6510,0.0000,0.0000,0.0000,0.0000,11.5168,10800.0000,0.4108
2025-02-01,32,101,16:40,16:50,0.7466,3196.9081,640.2688,447.6673,675.9282,599.9905,599.9905,458.2068,432.8196,25.3872,0.0000,0.0000,0.0000,0.0000,6.7131,10800.0000,0.4108
2025-02-01,32,102,16:50,17:00,0.7383,2680.6800,358.2375,275.2273,388.5491,335.9676,335.9676,400.9088,390.7854,10.1234,0.0000,0.0000,0.0000,0.0000,3.7117,10800.0000,0.4108
2025-02-01,32,103,17:00,17:10,0.7642,2601.2611,95.3846,229.3561,323.7909,279.9730,279.9730,395.3175,386.8814,8.4362,0.0000,0.0000,0.0000,30.7647,0.0000,10800.0000,0.4108
2025-02-01,32,104,17:10,17:20,0.7870,2638.6848,0.0000,183.4849,259.0327,223.9784,223.9784,409.2000,402.4511,6.7489,0.0000,0.0000,0.0000,37.3297,0.0000,10800.0000,0.4108
2025-02-01,32,105,17:20,17:30,0.7750,2616.8200,0.0000,137.6137,194.2746,167.9838,167.9838,413.2011,408.1394,5.0617,0.0000,0.0000,0.0000,27.9973,0.0000,10800.0000,0.4108
2025-02-01,32,106,17:30,17:40,0.7557,2675.9710,4.1367,91.7424,129.5164,111.9892,111.9892,430.7048,427.3303,3.3745,0.0000,0.0000,0.0000,17.9754,0.0000,10800.0000,0.4108
2025-02-01,32,107,17:40,17:50,0.8692,2639.3558,0.0000,45.8712,64.7582,55.9946,55.9946,0.0000,0.0000,0.0000,0.0000,0.0000,430.5602,9.3324,0.0000,10321.5998,0.4108
2025-02-01,32,108,17:50,18:00,1.0662,2570.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,428.4700,0.0000,0.0000,9845.5220,0.4108
2025-02-01,32,109,18:00,18:10,1.1465,2725.1073,0.2970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,454.1846,0.0000,0.0495,9340.8725,0.4108
2025-02-01,32,110,18:10,18:20,1.1653,2833.5919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,472.2653,0.0000,0.0000,8816.1333,0.4108
2025-02-01,32,111,18:20,18:30,1.1644,2725.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,454.1683,0.0000,0.0000,8311.5018,0.4108
2025-02-01,32,112,18:30,18:40,1.1265,2510.2571,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,418.3762,0.0000,0.0036,7846.6394,0.4108
2025-02-01,32,113,18:40,18:50,1.1134,2484.4934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,414.0822,0.0000,0.0000,7386.5480,0.4108
2025-02-01,32,114,18:50,19:00,1.1312,2592.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,432.1383,0.0000,0.0000,6906.3943,0.4108
2025-02-01,32,115,19:00,19:10,1.1292,2544.0862,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,424.0144,0.0000,0.0002,6435.2672,0.4108
2025-02-01,32,116,19:10,19:20,1.1330,2654.4748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,442.4125,0.0000,0.0000,5943.6978,0.4108
2025-02-01,32,117,19:20,19:30,1.1382,2902.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,483.7467,0.0000,0.0000,5406.2015,0.4108
2025-02-01,32,118,19:30,19:40,1.1103,2887.1068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,481.1845,0.0000,0.0000,4871.5521,0.4108
2025-02-01,32,119,19:40,19:50,1.0929,2668.5956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,444.7659,0.0000,0.0000,4377.3677,0.4108
2025-02-01,32,120,19:50,20:00,1.1041,2508.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,418.0950,0.0000,0.0000,3912.8177,0.4108
2025-02-01,32,121,20:00,20:10,1.1204,2620.4431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,436.7405,0.0000,0.0000,3427.5505,0.4108
2025-02-01,32,122,20:10,20:20,1.1344,2716.1871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,452.6978,0.0000,0.0000,2924.5529,0.4108
2025-02-01,32,123,20:20,20:30,1.1597,2699.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,449.9683,0.0000,0.0000,2424.5881,0.4108
2025-02-01,32,124,20:30,20:40,1.1766,2730.4002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,455.0667,0.0000,0.0000,1918.9584,0.4108
2025-02-01,32,125,20:40,20:50,0.9864,2724.0742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,454.0124,0.0000,0.0000,1414.5002,0.4108
