时段序号,计划购电量_kWh,充电量_kWh,放电量_kWh,储电量_kWh
60,0.0000000000,84.5624166667,0.0000000000,1973.9660657407
61,0.0000000000,116.9835833333,0.0000000000,2079.2512907407
62,0.0000000000,146.6606000000,0.0000000000,2211.2458307407
63,0.0000000000,173.5202500000,0.0000000000,2367.4140557407
64,0.0000000000,201.0290833333,0.0000000000,2548.3402307407
65,0.0000000000,225.4061166667,0.0000000000,2751.2057357407
66,0.0000000000,244.0092500000,0.0000000000,2970.8140607407
67,575.1709166667,833.3333333333,0.0000000000,3720.8140607407
68,0.0000000000,272.6315333333,0.0000000000,3966.1824407407
69,0.0000000000,284.3209833333,0.0000000000,4222.0713257407
70,179.2771713992,468.5786380658,0.0000000000,4643.7921000000
71,520.1245166667,833.3333333333,0.0000000000,5393.7921000000
72,486.4029000000,833.3333333333,0.0000000000,6143.7921000000
73,480.4124500000,833.3333333333,0.0000000000,6893.7921000000
74,485.3000000000,833.3333333333,0.0000000000,7643.7921000000
75,488.6069666667,833.3333333333,0.0000000000,8393.7921000000
76,498.2707333333,833.3333333333,0.0000000000,9143.7921000000
77,0.0000000000,304.5517666667,0.0000000000,9417.8886900000
78,0.0000000000,264.5071833333,0.0000000000,9655.9451550000
79,0.0000000000,242.5075500000,0.0000000000,9874.2019500000
80,0.0000000000,223.0755833333,0.0000000000,10074.9699750000
81,0.0000000000,198.7593166667,0.0000000000,10253.8533600000
82,0.0000000000,177.3598166667,0.0000000000,10413.4771950000
83,0.0000000000,151.7403000000,0.0000000000,10550.0434650000
84,0.0000000000,120.0350333333,0.0000000000,10658.0749950000
85,0.0000000000,87.8144500000,0.0000000000,10737.1080000000
86,0.0000000000,53.6248666667,0.0000000000,10785.3703800000
87,0.0000000000,16.2551333333,0.0000000000,10800.0000000000
88,0.0000000000,0.0000000000,23.7813666667,10773.5762592593
89,0.0000000000,0.0000000000,67.3200166667,10698.7762407407
90,112.0898666667,0.0000000000,0.0000000000,10698.7762407407
91,266.7326936214,112.4708436214,0.0000000000,10800.0000000000
92,197.5235166667,0.0000000000,0.0000000000,10800.0000000000
93,244.8140333333,0.0000000000,0.0000000000,10800.0000000000
94,295.5346166667,-0.0000000000,0.0000000000,10800.0000000000
95,345.7775000000,0.0000000000,0.0000000000,10800.0000000000
96,394.9314833333,0.0000000000,0.0000000000,10800.0000000000
97,445.4316500000,0.0000000000,0.0000000000,10800.0000000000
98,495.6965833333,0.0000000000,0.0000000000,10800.0000000000
99,547.1190500000,0.0000000000,0.0000000000,10800.0000000000
100,599.9854333333,0.0000000000,0.0000000000,10800.0000000000
101,635.4297500000,0.0000000000,0.0000000000,10800.0000000000
102,660.8306833333,-0.0000000000,0.0000000000,10800.0000000000
103,702.0369333333,-0.0000000000,0.0000000000,10800.0000000000
104,738.0657833333,0.0000000000,0.0000000000,10800.0000000000
105,775.9447166667,0.0000000000,0.0000000000,10800.0000000000
106,826.0832500000,0.0000000000,0.0000000000,10800.0000000000
107,762.4228000000,0.0000000000,0.0000000000,10800.0000000000
108,636.9826166667,0.0000000000,0.0000000000,10800.0000000000
109,531.8940500000,0.0000000000,109.2672500000,10678.5919444444
110,678.8305333333,0.0000000000,0.0000000000,10678.5919444444
111,686.2685000000,0.0000000000,0.0000000000,10678.5919444444
112,696.5043833333,0.0000000000,0.0000000000,10678.5919444444
113,0.0000000000,0.0000000000,704.6342666667,9895.6649814815
114,0.0000000000,0.0000000000,706.4840333333,9110.6827222222
115,0.0000000000,0.0000000000,707.4064666667,8324.6755370370
116,0.0000000000,0.0000000000,708.5530000000,7537.3944259259
117,0.0000000000,0.0000000000,709.4468833333,6749.1201111111
118,0.0000000000,0.0000000000,711.2324500000,5958.8618333333
119,0.0000000000,0.0000000000,711.6625000000,5168.1257222222
120,0.0000000000,0.0000000000,711.4450333333,4377.6312407407
121,0.0000000000,0.0000000000,713.7040833333,3584.6267037037
122,0.0000000000,0.0000000000,715.2841500000,2789.8665370370
123,0.0000000000,0.0000000000,715.2268500000,1995.1700370370
124,0.0000000000,0.0000000000,715.6530333333,1200.0000000000
125,715.8689166667,0.0000000000,0.0000000000,1200.0000000000
126,717.0051166667,0.0000000000,0.0000000000,1200.0000000000
127,720.1603000000,0.0000000000,0.0000000000,1200.0000000000
128,717.0548666667,0.0000000000,0.0000000000,1200.0000000000
129,720.4459666667,0.0000000000,0.0000000000,1200.0000000000
130,738.1347166667,0.0000000000,-0.0000000000,1200.0000000000
131,671.6935666667,0.0000000000,-0.0000000000,1200.0000000000
132,1393.7903166667,833.3333333333,0.0000000000,1950.0000000000
133,1384.8989000000,833.3333333333,0.0000000000,2700.0000000000
134,568.8260500000,0.0000000000,0.0000000000,2700.0000000000
135,1396.9885500000,833.3333333333,0.0000000000,3450.0000000000
136,1397.7598666667,833.3333333333,0.0000000000,4200.0000000000
137,566.7474333333,0.0000000000,0.0000000000,4200.0000000000
138,1399.8737666667,833.3333333333,0.0000000000,4950.0000000000
139,567.8301500000,0.0000000000,0.0000000000,4950.0000000000
140,902.6919666667,333.3333333333,0.0000000000,5250.0000000000
141,1403.6635166667,833.3333333333,0.0000000000,6000.0000000000
142,571.6153833333,0.0000000000,0.0000000000,6000.0000000000
143,573.1768333333,0.0000000000,0.0000000000,6000.0000000000
144,574.1209833333,0.0000000000,0.0000000000,6000.0000000000
